nombre_empleado;edad;departamento;salud;dinero;familia;amor
Laura Pérez;64;Compras;21%;15%;22%;4%
Luis Sánchez;56;Compras;24%;7%;12%;11%
Laura Ramírez;52;Ventas;15%;13%;18%;15%
Juan Ramírez;65;Compras;8%;14%;6%;24%
Luis Sánchez;32;Marketing;18%;17%;2%;18%
Carlos Rodríguez;30;Marketing;11%;22%;15%;13%
Laura Martínez;24;Ventas;7%;25%;13%;24%
Camila Sánchez;35;Compras;7%;17%;19%;25%
Valentina Sánchez;36;Ventas;2%;11%;6%;24%
Laura Pérez;55;Finanzas;8%;6%;2%;15%
Camila Arango;63;Marketing;20%;2%;17%;7%
Juan Fernández;52;Sistemas;21%;21%;9%;19%
Andrea Sánchez;50;Logística;23%;5%;24%;2%
Carlos Rodríguez;28;Compras;25%;1%;19%;13%
Mariana Gómez;64;Ventas;10%;8%;25%;4%
Andrea Arango;38;Ventas;25%;21%;9%;18%
Mariana Torres;44;Ventas;19%;8%;25%;25%
Sebastián Arango;36;Compras;12%;9%;22%;5%
Valentina Pérez;57;Ventas;22%;10%;20%;8%
Sebastián Pérez;65;Recursos Humanos;3%;21%;17%;7%
Camila Pérez;48;Logística;12%;9%;1%;22%
Carlos Fernández;52;Sistemas;14%;2%;9%;15%
Pedro Martínez;46;Marketing;12%;17%;3%;16%
Valentina Pérez;48;Producción;14%;20%;2%;4%
Carlos Gómez;65;Recursos Humanos;19%;11%;2%;7%
Camila Torres;19;Logística;15%;25%;9%;15%
Mariana López;38;Marketing;18%;14%;7%;9%
Laura Rodríguez;36;Compras;22%;5%;10%;17%
Luis Arango;40;Finanzas;12%;15%;23%;16%
Luis Torres;51;Logística;12%;14%;23%;7%
Carlos Sánchez;58;Logística;5%;4%;7%;12%
Juan López;47;Sistemas;3%;14%;13%;9%
Juan López;28;Logística;3%;22%;11%;15%
Sebastián Rodríguez;62;Compras;22%;21%;8%;25%
Valentina Pérez;39;Recursos Humanos;10%;25%;7%;20%
Camila Arango;43;Compras;15%;3%;4%;7%
Andrea López;44;Finanzas;24%;18%;17%;20%
Sebastián Arango;49;Ventas;10%;25%;7%;6%
Mariana Rodríguez;39;Sistemas;13%;21%;4%;21%
Camila Ramírez;34;Compras;14%;18%;11%;25%
Valentina Sánchez;36;Recursos Humanos;19%;6%;25%;21%
Mariana Ramírez;58;Producción;15%;25%;10%;2%
Laura López;63;Marketing;24%;24%;21%;23%
Mariana Rodríguez;49;Ventas;12%;24%;23%;5%
Valentina Martínez;37;Producción;14%;14%;24%;23%
Laura Ramírez;48;Ventas;9%;23%;8%;22%
Camila Pérez;64;Producción;21%;9%;14%;6%
Carlos Pérez;58;Finanzas;24%;24%;10%;24%
Andrea Rodríguez;21;Ventas;18%;5%;17%;14%
Sebastián Ramírez;50;Ventas;19%;5%;1%;12%
Juan Gómez;34;Producción;9%;25%;23%;18%
Pedro Sánchez;51;Marketing;23%;3%;4%;15%
Andrea Rodríguez;24;Ventas;10%;15%;21%;6%
Laura Pérez;19;Ventas;21%;22%;10%;20%
Luis Pérez;50;Sistemas;17%;15%;9%;7%
Pedro Pérez;43;Sistemas;12%;11%;12%;20%
Carlos Rodríguez;31;Ventas;5%;25%;22%;9%
Juan Pérez;22;Sistemas;5%;13%;1%;3%
Pedro Ramírez;65;Sistemas;24%;6%;3%;12%
Sebastián Fernández;46;Finanzas;4%;11%;13%;10%
Carlos Ramírez;27;Sistemas;6%;6%;14%;13%
Pedro Ramírez;61;Producción;23%;24%;11%;17%
Pedro Pérez;64;Logística;4%;6%;7%;3%
Carlos Gómez;55;Ventas;3%;7%;16%;22%
Mariana López;40;Recursos Humanos;11%;13%;21%;16%
Juan Sánchez;19;Marketing;6%;24%;23%;1%
Laura Torres;47;Ventas;15%;2%;11%;12%
Carlos Rodríguez;43;Producción;6%;20%;1%;25%
Mariana Rodríguez;41;Producción;12%;1%;18%;12%
Andrea Gómez;30;Sistemas;21%;5%;6%;18%
Juan Sánchez;37;Marketing;2%;3%;11%;19%
Laura Torres;30;Recursos Humanos;19%;1%;25%;9%
Valentina Fernández;44;Producción;8%;12%;19%;13%
Valentina Pérez;20;Marketing;8%;1%;10%;7%
Mariana López;56;Finanzas;19%;14%;22%;23%
Sebastián Martínez;53;Ventas;17%;22%;2%;17%
Sebastián Fernández;18;Sistemas;3%;7%;20%;25%
Pedro López;28;Recursos Humanos;9%;14%;21%;10%
Valentina Ramírez;34;Compras;24%;9%;22%;11%
Carlos López;58;Compras;22%;14%;18%;15%
Carlos Pérez;39;Ventas;17%;23%;15%;18%
Valentina Martínez;57;Recursos Humanos;3%;12%;13%;7%
Valentina Martínez;20;Producción;16%;18%;23%;11%
Valentina Rodríguez;21;Compras;19%;6%;13%;1%
Mariana Martínez;19;Ventas;19%;2%;22%;23%
Sebastián Torres;18;Logística;16%;25%;15%;24%
Camila Arango;40;Compras;8%;5%;4%;18%
Juan Martínez;43;Producción;1%;1%;7%;3%
Pedro Arango;49;Producción;7%;2%;25%;8%
Mariana Torres;25;Logística;5%;22%;15%;17%
Camila Gómez;27;Sistemas;13%;15%;6%;14%
Valentina Torres;50;Marketing;17%;3%;4%;1%
Andrea Arango;50;Sistemas;2%;24%;7%;14%
Juan López;30;Recursos Humanos;12%;15%;14%;16%
Sebastián Sánchez;42;Finanzas;6%;2%;1%;12%
Sebastián Pérez;40;Logística;5%;20%;20%;3%
Carlos Pérez;48;Finanzas;3%;11%;19%;1%
Carlos Ramírez;38;Ventas;19%;7%;8%;12%
Sebastián Torres;55;Sistemas;13%;22%;7%;11%
Pedro Torres;54;Sistemas;9%;21%;7%;22%
Sebastián Torres;45;Marketing;17%;21%;14%;13%
Sebastián Martínez;53;Logística;19%;11%;17%;7%
Valentina Rodríguez;45;Marketing;23%;22%;3%;1%
Mariana Martínez;43;Compras;16%;11%;23%;13%
Camila Martínez;56;Marketing;12%;1%;22%;1%
Sebastián Ramírez;62;Sistemas;18%;15%;3%;13%
Luis Rodríguez;26;Finanzas;7%;13%;24%;4%
Laura Fernández;61;Ventas;15%;7%;6%;8%
Mariana Gómez;54;Compras;15%;7%;23%;7%
Andrea Gómez;27;Marketing;15%;16%;25%;20%
Camila Sánchez;54;Ventas;7%;3%;10%;3%
Laura Torres;25;Compras;1%;4%;16%;8%
Mariana Sánchez;34;Recursos Humanos;10%;9%;16%;22%
Valentina Sánchez;27;Producción;7%;20%;14%;3%
Sebastián Torres;33;Recursos Humanos;18%;18%;12%;1%
Camila Rodríguez;20;Recursos Humanos;9%;8%;4%;19%
Mariana Rodríguez;41;Logística;4%;22%;1%;4%
Andrea Arango;20;Marketing;3%;15%;3%;11%
Andrea Torres;60;Finanzas;17%;23%;2%;16%
Laura Fernández;29;Sistemas;16%;19%;2%;23%
Juan Pérez;20;Logística;14%;6%;10%;16%
Valentina Gómez;30;Ventas;24%;10%;21%;8%
Carlos Fernández;28;Logística;23%;22%;6%;9%
Juan Ramírez;25;Logística;20%;25%;1%;15%
Pedro Martínez;44;Recursos Humanos;22%;12%;21%;18%
Pedro Ramírez;23;Finanzas;3%;17%;22%;19%
Mariana Martínez;25;Marketing;8%;5%;19%;12%
Luis Gómez;42;Sistemas;5%;3%;22%;18%
Valentina Rodríguez;46;Producción;4%;23%;4%;21%
Pedro Martínez;25;Recursos Humanos;22%;18%;21%;24%
Andrea Arango;31;Sistemas;5%;15%;20%;14%
Luis Sánchez;57;Logística;2%;12%;12%;21%
Carlos Arango;30;Recursos Humanos;24%;2%;25%;1%
Laura Gómez;54;Marketing;10%;21%;24%;12%
Valentina Pérez;33;Recursos Humanos;2%;7%;4%;22%
Pedro Sánchez;51;Producción;2%;8%;4%;22%
Mariana Arango;58;Recursos Humanos;1%;11%;6%;7%
Andrea López;32;Logística;3%;16%;13%;11%
Andrea Martínez;31;Marketing;6%;8%;5%;17%
Carlos Torres;21;Marketing;20%;24%;18%;16%
Valentina Fernández;54;Compras;7%;10%;21%;19%
Valentina Rodríguez;18;Sistemas;13%;12%;13%;1%
Luis Torres;40;Recursos Humanos;25%;16%;5%;16%
Camila Martínez;23;Ventas;20%;18%;13%;19%
Pedro Fernández;65;Logística;23%;3%;1%;14%
Sebastián Ramírez;49;Sistemas;7%;7%;20%;13%
Andrea Martínez;32;Ventas;25%;18%;13%;13%
Mariana López;61;Producción;11%;17%;23%;10%
Andrea Sánchez;34;Recursos Humanos;3%;19%;11%;17%
Valentina Arango;62;Logística;22%;23%;13%;2%
Luis Pérez;41;Ventas;11%;11%;10%;23%
Valentina Ramírez;27;Marketing;1%;23%;17%;6%
Carlos Sánchez;29;Logística;7%;22%;12%;23%
Camila Fernández;20;Producción;12%;5%;14%;18%
Laura López;60;Finanzas;13%;12%;11%;14%
Laura Torres;61;Ventas;2%;19%;11%;2%
Pedro Rodríguez;41;Logística;24%;19%;23%;3%
Laura Arango;57;Compras;4%;10%;7%;1%
Mariana Arango;34;Logística;19%;15%;20%;19%
Juan Ramírez;23;Ventas;14%;22%;17%;25%
Andrea Fernández;53;Finanzas;13%;22%;21%;13%
Valentina Gómez;60;Logística;16%;16%;1%;7%
Luis Ramírez;65;Logística;7%;9%;21%;12%
Carlos Torres;29;Compras;9%;9%;12%;1%
Carlos López;51;Logística;19%;7%;13%;2%
Pedro Arango;34;Marketing;4%;10%;12%;16%
Laura Torres;51;Ventas;10%;9%;15%;22%
Laura Rodríguez;31;Marketing;10%;9%;18%;3%
Andrea Arango;34;Finanzas;11%;7%;1%;23%
Valentina Ramírez;58;Producción;17%;22%;10%;11%
Valentina Ramírez;36;Sistemas;21%;23%;3%;17%
Mariana Ramírez;61;Finanzas;13%;20%;18%;13%
Valentina Pérez;59;Ventas;2%;3%;5%;15%
Andrea López;36;Producción;25%;15%;14%;24%
Sebastián Martínez;58;Finanzas;6%;6%;20%;22%
Carlos Torres;28;Producción;9%;15%;21%;9%
Andrea Fernández;26;Logística;23%;9%;4%;13%
Camila Martínez;34;Recursos Humanos;18%;5%;15%;7%
Sebastián Martínez;57;Producción;14%;12%;10%;1%
Carlos Ramírez;22;Finanzas;12%;24%;13%;11%
Mariana López;22;Logística;12%;9%;13%;15%
Andrea Pérez;62;Compras;17%;16%;12%;23%
Laura Ramírez;58;Sistemas;12%;22%;17%;2%
Juan Torres;49;Sistemas;5%;18%;17%;16%
Laura Pérez;54;Producción;23%;15%;13%;19%
Luis Gómez;24;Marketing;24%;20%;14%;8%
Juan Sánchez;59;Compras;1%;13%;12%;21%
Carlos Sánchez;58;Ventas;22%;10%;9%;7%
Carlos Rodríguez;44;Marketing;5%;14%;14%;21%
Juan Pérez;32;Marketing;24%;24%;19%;3%
Sebastián Arango;51;Ventas;17%;21%;7%;1%
Sebastián Gómez;65;Marketing;13%;15%;14%;2%
Juan Rodríguez;27;Marketing;22%;20%;10%;22%
Juan Rodríguez;37;Recursos Humanos;11%;14%;8%;22%
Laura Gómez;36;Recursos Humanos;10%;19%;3%;12%
Sebastián Ramírez;25;Compras;24%;7%;4%;9%
Valentina Rodríguez;26;Compras;8%;15%;10%;18%
Mariana Sánchez;32;Sistemas;8%;15%;9%;7%
Mariana Ramírez;18;Marketing;25%;24%;6%;3%
Andrea Sánchez;46;Recursos Humanos;24%;4%;8%;22%
Andrea López;58;Recursos Humanos;12%;18%;9%;3%
Pedro Torres;58;Marketing;22%;2%;7%;20%
Andrea Rodríguez;40;Producción;21%;21%;2%;16%
Andrea Ramírez;27;Ventas;13%;23%;23%;8%
Luis Sánchez;24;Finanzas;4%;13%;17%;23%
Laura Pérez;58;Recursos Humanos;16%;14%;22%;15%
Mariana Arango;39;Recursos Humanos;7%;14%;22%;3%
Mariana Ramírez;49;Compras;5%;12%;10%;14%
Pedro Ramírez;36;Finanzas;12%;8%;23%;21%
Juan Torres;58;Producción;23%;6%;2%;19%
Valentina Rodríguez;40;Recursos Humanos;18%;9%;4%;9%
Laura Martínez;22;Finanzas;1%;12%;11%;16%
Pedro Gómez;41;Compras;22%;15%;10%;8%
Camila Martínez;37;Compras;7%;23%;25%;3%
Luis Sánchez;63;Compras;1%;20%;25%;15%
Sebastián Gómez;38;Ventas;1%;4%;12%;12%
Pedro Arango;50;Producción;19%;7%;2%;25%
Pedro Torres;61;Marketing;7%;11%;19%;16%
Pedro Pérez;22;Producción;13%;9%;13%;16%
Valentina Fernández;55;Compras;24%;21%;12%;24%
Valentina Pérez;19;Logística;5%;13%;17%;13%
Juan Gómez;56;Marketing;12%;15%;23%;9%
Sebastián Fernández;54;Sistemas;9%;11%;1%;1%
Carlos Ramírez;38;Compras;6%;13%;14%;14%
Andrea Pérez;56;Sistemas;12%;5%;10%;1%
Sebastián Fernández;47;Sistemas;16%;1%;2%;9%
Valentina Pérez;41;Recursos Humanos;8%;12%;18%;17%
Camila Gómez;46;Producción;16%;21%;15%;3%
Sebastián Fernández;58;Logística;19%;7%;11%;1%
Pedro López;59;Recursos Humanos;10%;22%;5%;14%
Andrea Fernández;27;Marketing;18%;6%;13%;5%
Pedro López;50;Ventas;25%;24%;16%;7%
Pedro Ramírez;40;Sistemas;22%;3%;1%;13%
Camila Ramírez;54;Recursos Humanos;10%;23%;18%;23%
Juan Torres;33;Finanzas;9%;23%;1%;1%
Luis Torres;58;Compras;12%;2%;7%;24%
Valentina Arango;49;Ventas;21%;19%;2%;16%
Mariana Fernández;20;Marketing;24%;17%;6%;7%
Sebastián Arango;53;Logística;21%;18%;3%;2%
Mariana Martínez;19;Sistemas;12%;1%;22%;19%
Andrea Martínez;58;Marketing;2%;2%;16%;14%
Mariana Ramírez;57;Ventas;9%;17%;16%;7%
Luis López;50;Ventas;7%;8%;6%;6%
Valentina Arango;57;Finanzas;15%;15%;8%;3%
Sebastián Ramírez;22;Ventas;14%;14%;12%;13%
Pedro López;44;Compras;7%;11%;4%;9%
Valentina Pérez;52;Ventas;13%;22%;3%;17%
Camila Fernández;49;Marketing;12%;19%;14%;3%
Pedro Ramírez;30;Finanzas;10%;15%;20%;9%
Mariana Gómez;25;Ventas;18%;13%;14%;13%
Laura Torres;46;Ventas;7%;8%;9%;18%
Laura Martínez;23;Producción;16%;21%;10%;8%
Valentina Pérez;29;Compras;11%;5%;18%;1%
Sebastián Martínez;40;Marketing;8%;25%;18%;18%
Andrea Gómez;63;Logística;21%;13%;2%;12%
Mariana López;37;Recursos Humanos;20%;9%;2%;7%
Sebastián Torres;20;Recursos Humanos;19%;12%;4%;6%
Carlos López;51;Sistemas;6%;17%;1%;19%
Carlos López;18;Marketing;1%;19%;5%;18%
Laura Sánchez;43;Marketing;14%;19%;11%;15%
Pedro Sánchez;37;Marketing;23%;13%;17%;17%
Carlos Gómez;54;Ventas;6%;16%;5%;20%
Camila Fernández;56;Recursos Humanos;11%;17%;7%;17%
Carlos Martínez;40;Ventas;20%;19%;8%;2%
Mariana López;31;Recursos Humanos;3%;11%;8%;9%
Laura Rodríguez;27;Marketing;11%;9%;22%;20%
Pedro Sánchez;25;Compras;20%;13%;9%;11%
Mariana Arango;37;Marketing;1%;15%;17%;11%
Sebastián Arango;53;Recursos Humanos;25%;18%;14%;25%
Sebastián Fernández;41;Logística;13%;1%;24%;11%
Juan Gómez;60;Finanzas;15%;7%;2%;16%
Carlos Martínez;61;Logística;22%;20%;8%;21%
Camila Ramírez;38;Logística;3%;12%;6%;25%
Andrea Rodríguez;34;Marketing;20%;2%;11%;4%
Luis Ramírez;34;Producción;6%;18%;21%;10%
Valentina Ramírez;32;Producción;13%;21%;25%;1%
Carlos López;56;Logística;23%;21%;18%;3%
Valentina Fernández;51;Marketing;18%;25%;14%;8%
Luis Torres;35;Compras;8%;2%;4%;2%
Juan Gómez;31;Finanzas;25%;6%;6%;13%
Valentina Martínez;44;Recursos Humanos;2%;13%;15%;2%
Laura Pérez;61;Recursos Humanos;19%;2%;20%;19%
Valentina Torres;60;Finanzas;13%;6%;11%;20%
Luis Fernández;44;Compras;11%;8%;7%;19%
Juan Torres;63;Finanzas;4%;18%;4%;9%
Juan Pérez;59;Ventas;5%;16%;3%;17%
Sebastián Fernández;25;Finanzas;3%;8%;20%;19%
Pedro Martínez;43;Sistemas;1%;16%;9%;3%
Pedro Fernández;59;Compras;5%;16%;14%;23%
Laura Torres;48;Ventas;19%;3%;18%;8%
Laura López;60;Logística;17%;4%;11%;17%
Andrea Arango;25;Recursos Humanos;10%;19%;20%;24%
Camila Gómez;32;Recursos Humanos;20%;23%;16%;24%
Andrea Martínez;64;Marketing;22%;25%;4%;14%
Camila Gómez;45;Compras;17%;7%;17%;1%
Mariana Torres;20;Logística;11%;6%;10%;22%
Juan López;40;Sistemas;22%;2%;25%;3%
Valentina Sánchez;26;Compras;10%;3%;15%;15%
Camila Torres;44;Recursos Humanos;21%;5%;2%;13%
Juan Torres;54;Compras;2%;21%;2%;10%
Laura Rodríguez;24;Finanzas;25%;18%;23%;6%
Luis Fernández;60;Producción;21%;23%;10%;4%
Sebastián López;60;Finanzas;10%;14%;21%;3%
Valentina Arango;64;Compras;25%;22%;10%;6%
Andrea Torres;49;Marketing;9%;9%;1%;9%
Camila Fernández;32;Ventas;21%;20%;10%;21%
Valentina Torres;49;Ventas;3%;6%;15%;23%
Camila Fernández;59;Finanzas;11%;21%;1%;16%
Pedro Gómez;58;Recursos Humanos;24%;15%;22%;6%
Mariana Pérez;65;Logística;15%;12%;3%;25%
Andrea Pérez;58;Marketing;15%;20%;21%;11%
Juan López;34;Sistemas;15%;17%;2%;7%
Pedro Martínez;21;Producción;6%;20%;2%;15%
Luis Gómez;65;Sistemas;20%;1%;16%;21%
Mariana Arango;39;Compras;18%;14%;13%;21%
Sebastián Sánchez;50;Marketing;1%;4%;25%;15%
Andrea Sánchez;20;Marketing;1%;8%;5%;7%
Valentina Rodríguez;49;Ventas;4%;2%;20%;17%
Sebastián Sánchez;38;Producción;12%;12%;8%;15%
Laura Martínez;49;Ventas;17%;18%;10%;8%
Valentina Rodríguez;43;Marketing;9%;24%;14%;12%
Pedro Ramírez;64;Finanzas;22%;16%;21%;7%
Luis Gómez;53;Producción;22%;16%;12%;3%
Sebastián Arango;53;Marketing;24%;25%;22%;8%
Carlos Rodríguez;36;Marketing;20%;12%;4%;19%
Juan Gómez;52;Sistemas;13%;1%;22%;12%
Andrea Fernández;45;Logística;7%;20%;14%;11%
Mariana Fernández;29;Ventas;4%;4%;2%;22%
Pedro Fernández;36;Recursos Humanos;11%;14%;18%;12%
Sebastián Arango;55;Finanzas;8%;9%;9%;21%
Camila Gómez;18;Ventas;20%;23%;11%;3%
Luis Martínez;41;Compras;22%;20%;6%;9%
Andrea Rodríguez;19;Finanzas;9%;3%;14%;23%
Laura Torres;64;Marketing;21%;6%;22%;18%
Camila López;63;Recursos Humanos;11%;6%;4%;10%
Valentina Pérez;33;Finanzas;23%;13%;6%;13%
Carlos Sánchez;46;Ventas;21%;23%;23%;2%
Carlos López;52;Recursos Humanos;16%;7%;10%;22%
Juan Martínez;64;Sistemas;25%;22%;7%;14%
Juan Martínez;37;Recursos Humanos;17%;18%;20%;24%
Mariana Ramírez;47;Logística;16%;13%;2%;23%
Pedro Ramírez;63;Ventas;18%;16%;12%;20%
Sebastián Ramírez;34;Compras;1%;19%;20%;4%
Camila Fernández;57;Marketing;21%;4%;22%;14%
Laura Martínez;33;Recursos Humanos;15%;14%;21%;13%
Valentina Martínez;33;Logística;8%;17%;13%;18%
Laura Fernández;34;Marketing;17%;13%;8%;11%
Valentina Gómez;37;Logística;10%;11%;20%;10%
Mariana Ramírez;49;Ventas;1%;19%;15%;9%
Luis Fernández;57;Sistemas;20%;4%;24%;6%
Pedro López;20;Marketing;23%;24%;14%;1%
Andrea Martínez;19;Logística;4%;20%;12%;7%
Pedro Gómez;32;Ventas;20%;2%;16%;11%
Camila López;35;Finanzas;18%;19%;10%;22%
Juan Pérez;37;Compras;22%;12%;24%;7%
Pedro Fernández;40;Ventas;9%;21%;14%;19%
Pedro Torres;36;Producción;17%;7%;13%;17%
Andrea López;39;Marketing;23%;18%;24%;22%
Laura Fernández;35;Recursos Humanos;8%;21%;12%;21%
Luis Ramírez;46;Compras;16%;11%;15%;15%
Camila Torres;53;Producción;16%;10%;13%;14%
Sebastián Arango;34;Ventas;16%;11%;2%;7%
Valentina Sánchez;30;Sistemas;7%;15%;1%;18%
Laura Sánchez;43;Recursos Humanos;22%;16%;3%;17%
Mariana Pérez;20;Finanzas;21%;20%;2%;7%
Camila Arango;28;Marketing;11%;15%;1%;12%
Valentina Pérez;35;Sistemas;2%;17%;25%;10%
Carlos Sánchez;40;Logística;23%;21%;13%;8%
Valentina Gómez;31;Sistemas;11%;25%;5%;8%
Sebastián López;61;Recursos Humanos;4%;25%;22%;9%
Carlos Martínez;35;Finanzas;9%;24%;13%;17%
Carlos Gómez;53;Compras;9%;16%;15%;4%
Valentina Fernández;30;Sistemas;2%;14%;20%;17%
Luis Martínez;39;Marketing;13%;14%;4%;12%
Luis Rodríguez;19;Recursos Humanos;20%;14%;25%;21%
Luis Sánchez;37;Finanzas;17%;15%;4%;16%
Valentina Gómez;49;Marketing;2%;8%;20%;10%
Laura Fernández;52;Recursos Humanos;17%;15%;19%;1%
Sebastián Martínez;18;Marketing;18%;2%;3%;19%
Sebastián Arango;21;Marketing;1%;2%;22%;22%
Juan Arango;25;Producción;4%;19%;6%;21%
Sebastián Arango;64;Producción;17%;15%;25%;16%
Juan Rodríguez;54;Ventas;7%;8%;3%;7%
Andrea Arango;26;Logística;5%;8%;11%;19%
Valentina Gómez;18;Ventas;13%;3%;3%;3%
Luis Ramírez;53;Finanzas;18%;25%;12%;16%
Laura Pérez;53;Marketing;20%;6%;16%;18%
Laura López;41;Ventas;15%;1%;19%;8%
Mariana Gómez;26;Sistemas;13%;5%;1%;24%
Andrea Arango;45;Finanzas;25%;23%;5%;10%
Camila Fernández;34;Compras;12%;2%;8%;24%
Mariana López;60;Finanzas;4%;13%;20%;3%
Juan Gómez;23;Marketing;12%;23%;22%;19%
Laura Rodríguez;62;Sistemas;20%;18%;13%;19%
Pedro Martínez;46;Recursos Humanos;11%;17%;8%;11%
Sebastián Gómez;47;Compras;11%;6%;9%;8%
Andrea López;58;Logística;14%;20%;2%;2%
Carlos López;18;Ventas;13%;7%;19%;5%
Mariana Rodríguez;22;Recursos Humanos;8%;23%;3%;17%
Laura Ramírez;33;Marketing;19%;22%;3%;4%
Andrea Arango;35;Logística;12%;3%;9%;8%
Valentina Fernández;34;Compras;9%;19%;12%;17%
Mariana Fernández;33;Marketing;24%;3%;22%;5%
Pedro Pérez;29;Producción;23%;18%;19%;15%
Valentina Arango;22;Marketing;7%;13%;12%;9%
Juan Torres;28;Ventas;14%;13%;21%;2%
Luis López;43;Logística;4%;17%;8%;25%
Valentina Gómez;25;Recursos Humanos;14%;1%;7%;15%
Mariana Torres;21;Marketing;13%;14%;13%;21%
Andrea Sánchez;27;Logística;15%;1%;17%;15%
Carlos Arango;19;Sistemas;12%;6%;1%;20%
Camila Gómez;58;Marketing;22%;12%;10%;2%
Carlos López;33;Marketing;24%;10%;18%;13%
Mariana Arango;18;Producción;14%;2%;25%;6%
Carlos Ramírez;54;Logística;5%;1%;12%;11%
Camila Torres;31;Sistemas;14%;10%;2%;15%
Camila Fernández;33;Recursos Humanos;19%;16%;4%;11%
Carlos Fernández;65;Sistemas;10%;25%;2%;24%
Valentina Torres;63;Logística;17%;23%;13%;22%
Camila Rodríguez;40;Marketing;1%;9%;9%;3%
Valentina Arango;27;Marketing;23%;22%;14%;7%
Andrea Martínez;25;Finanzas;5%;1%;2%;23%
Valentina Rodríguez;40;Recursos Humanos;18%;17%;22%;1%
Camila Arango;65;Marketing;20%;14%;24%;10%
Andrea Gómez;52;Sistemas;6%;21%;2%;5%
Valentina López;21;Sistemas;14%;9%;19%;23%
Luis Torres;63;Marketing;10%;1%;5%;3%
Mariana Torres;34;Marketing;24%;23%;23%;21%
Valentina Fernández;41;Sistemas;12%;19%;20%;24%
Luis Fernández;28;Marketing;8%;2%;20%;6%
Mariana Ramírez;38;Recursos Humanos;3%;13%;1%;25%
Carlos Rodríguez;23;Recursos Humanos;18%;19%;6%;17%
Carlos Arango;32;Finanzas;24%;10%;21%;20%
Laura Fernández;29;Recursos Humanos;3%;17%;23%;10%
Valentina Fernández;49;Compras;11%;4%;15%;11%
Valentina Torres;18;Logística;24%;6%;9%;15%
Andrea Fernández;50;Marketing;8%;24%;20%;18%
Carlos Fernández;59;Compras;9%;7%;16%;7%
Camila Arango;64;Recursos Humanos;16%;22%;13%;14%
Carlos Fernández;50;Compras;12%;7%;11%;25%
Camila Rodríguez;31;Compras;10%;4%;5%;16%
Mariana Pérez;41;Producción;19%;13%;17%;21%
Pedro Gómez;36;Sistemas;21%;19%;16%;17%
Camila López;46;Logística;1%;22%;21%;2%
Andrea López;24;Finanzas;18%;7%;3%;21%
Valentina López;24;Finanzas;23%;22%;22%;25%
Laura Torres;22;Sistemas;21%;18%;9%;25%
Luis Rodríguez;47;Logística;14%;4%;11%;4%
Luis Torres;55;Compras;17%;16%;24%;11%
Carlos López;61;Ventas;1%;9%;8%;2%
Juan Fernández;22;Sistemas;25%;17%;16%;11%
Luis Martínez;34;Logística;9%;9%;13%;10%
Pedro Rodríguez;45;Producción;14%;25%;3%;21%
Mariana Gómez;20;Finanzas;15%;19%;15%;24%
Andrea Torres;18;Compras;14%;9%;12%;15%
Pedro Fernández;20;Finanzas;1%;3%;17%;16%
Carlos Arango;55;Compras;25%;22%;25%;23%
Camila Rodríguez;47;Sistemas;19%;20%;16%;10%
Juan Pérez;42;Ventas;2%;7%;13%;15%
Carlos Rodríguez;52;Finanzas;22%;20%;5%;6%
Laura Sánchez;28;Producción;12%;7%;14%;25%
Pedro Fernández;26;Marketing;15%;4%;14%;23%
Carlos Pérez;60;Sistemas;16%;20%;3%;2%
Pedro Rodríguez;61;Recursos Humanos;22%;18%;5%;19%
Camila Torres;34;Recursos Humanos;15%;14%;8%;3%
Pedro Pérez;24;Producción;24%;5%;5%;5%
Luis Fernández;52;Finanzas;21%;4%;23%;4%
Sebastián Ramírez;29;Producción;24%;2%;19%;5%
Camila Gómez;60;Sistemas;5%;22%;19%;24%
Camila Arango;25;Finanzas;12%;16%;9%;4%
Mariana Arango;64;Marketing;13%;3%;9%;20%
Juan Pérez;43;Marketing;20%;22%;14%;9%
Laura Rodríguez;23;Marketing;20%;23%;6%;17%
Laura Sánchez;48;Compras;9%;4%;14%;21%
Valentina Ramírez;39;Marketing;3%;20%;3%;15%
Mariana Ramírez;33;Ventas;12%;14%;17%;23%
Pedro Martínez;55;Finanzas;17%;14%;5%;15%
Carlos Fernández;54;Sistemas;2%;24%;14%;22%
Valentina López;57;Producción;3%;19%;10%;3%
Laura Fernández;27;Producción;4%;19%;14%;16%
Pedro Rodríguez;57;Compras;11%;5%;5%;19%
Laura Pérez;22;Recursos Humanos;9%;17%;20%;4%
Laura Martínez;53;Recursos Humanos;20%;16%;3%;2%
Andrea Gómez;38;Marketing;17%;8%;9%;10%
Luis Ramírez;39;Finanzas;7%;23%;12%;5%
Camila Sánchez;47;Recursos Humanos;19%;23%;22%;4%
Laura Rodríguez;19;Compras;23%;5%;14%;2%
Luis Sánchez;62;Producción;18%;10%;5%;8%
Mariana Arango;45;Producción;9%;7%;17%;3%
Laura Martínez;18;Sistemas;16%;16%;13%;9%
Laura Sánchez;51;Finanzas;18%;5%;21%;25%
Pedro Rodríguez;55;Logística;18%;22%;20%;22%
Carlos Arango;18;Recursos Humanos;5%;8%;19%;23%
Camila Pérez;36;Ventas;5%;5%;9%;20%
Pedro Martínez;53;Producción;6%;20%;8%;22%
Laura Ramírez;22;Marketing;18%;15%;22%;25%
Valentina Sánchez;49;Compras;8%;14%;16%;9%
Luis Arango;29;Compras;3%;6%;3%;19%
